Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z5,2019,MALE,32.866,57.0,247208.9671,4.51,-1.17,38.16
Z5,2020,BOTH,23.937,85.0,480388.39728,2.64,-1.06,26.747
Z5,2020,FEMALE,14.232,26.0,232273.74244,2.81,-1.18,17.548
Z5,2020,MALE,35.123,59.0,248114.65484,4.74,-0.59,37.939
Z1.1,2004,BOTH,44.41,15.0,36868.451433,11.55,1.75,24.141
Z1.1,2004,FEMALE,27.472,5.0,18327.110936,12.44,0.81,17.354
Z1.1,2004,MALE,64.651,10.0,18541.340497,20.61,1.5,33.816
Z1.1,2005,BOTH,11.243,4.0,36987.872054,5.63,-2.43,24.936
Z1.1,2005,FEMALE,0.0,0.0,18365.568736,10.89,-1.55,16.865
Z1.1,2005,MALE,24.183,4.0,18622.303318,12.14,-0.94,35.595
Z1.1,2006,BOTH,20.829,7.0,37012.836034,7.9,-0.43,24.209
Z1.1,2006,FEMALE,11.161,2.0,18361.96027,8.02,-0.97,18.961
Z1.1,2006,MALE,31.124,5.0,18650.875764,13.96,-0.03,31.565
Z1.1,2007,BOTH,19.181,7.0,37161.420436,7.26,-0.75,24.627
Z1.1,2007,FEMALE,23.994,5.0,18412.666571,10.75,0.53,18.289
Z1.1,2007,MALE,12.542,2.0,18748.753865,8.98,-2.29,33.082
Z1.1,2008,BOTH,20.122,7.0,37573.781808,7.62,-0.28,22.229
Z1.1,2008,FEMALE,10.414,2.0,18689.115586,7.36,-0.73,15.812
Z1.1,2008,MALE,29.968,5.0,18884.666222,13.46,-0.05,30.599
Z1.1,2009,BOTH,27.478,10.0,37687.5453,8.71,0.26,25.195
Z1.1,2009,FEMALE,21.018,4.0,18703.086789,10.59,0.21,18.837
Z1.1,2009,MALE,37.004,6.0,18984.458511,15.41,0.22,33.61
Z1.1,2010,BOTH,21.899,8.0,37757.917597,7.75,-0.43,25.232
Z1.1,2010,FEMALE,19.926,4.0,18780.756205,10.03,0.25,17.428
Z1.1,2010,MALE,25.353,4.0,18977.161392,12.88,-0.77,35.286
Z1.1,2011,BOTH,18.783,7.0,37762.023707,7.11,-0.94,25.488
Z1.1,2011,FEMALE,21.239,4.0,18837.20222,10.64,0.25,18.587
Z1.1,2011,MALE,16.822,3.0,18924.821487,9.76,-1.77,34.139
Z1.1,2012,BOTH,27.095,10.0,37786.220834,8.61,0.34,24.154
Z1.1,2012,FEMALE,10.593,2.0,18797.844306,7.49,-0.98,17.935
Z1.1,2012,MALE,46.834,8.0,18988.376528,16.77,0.89,31.937
Z1.1,2013,BOTH,12.536,5.0,37797.704122,5.61,-1.86,23.005
Z1.1,2013,FEMALE,8.908,2.0,18807.840171,6.32,-1.23,16.695
Z1.1,2013,MALE,15.518,3.0,18989.863951,8.98,-1.72,30.956
